Timestamp (UTC),Open,High,Low,Close,FCPO Mar23: Volume
2022-06-15,5549,5588,5426,5483,2345
2022-06-16,5487,5501,5356,5430,2109
2022-06-17,5429,5511,5341,5494,3888
2022-06-20,5311,5389,5133,5136,4516
2022-06-21,5161,5161,4988,5040,2179
2022-06-22,5042,5066,4631,4631,4982
2022-06-23,4731,4896,4645,4837,3595
2022-06-24,4818,4997,4631,4764,2025
2022-06-27,4860,5000,4800,4961,1328
2022-06-28,4969,5049,4851,5006,1664
2022-06-29,4963,4978,4915,4956,1377
2022-06-30,4947,5025,4875,4961,2524
2022-07-01,4955,4982,4671,4804,4863
2022-07-04,4719,4719,4434,4528,2773
2022-07-05,4589,4590,4369,4373,2719
2022-07-06,4316,4316,3933,4270,2650
2022-07-07,4213,4409,4088,4404,2056
2022-07-08,4421,4504,4330,4419,2646
2022-07-12,4479,4500,4351,4351,1773
2022-07-13,4342,4342,4094,4095,3034
2022-07-14,4078,4250,3814,3920,3676
2022-07-15,3985,4047,3852,3895,3340
2022-07-18,4024,4190,4024,4170,3238
2022-07-19,4234,4260,4046,4055,2123
2022-07-20,4080,4234,4063,4159,1419
2022-07-21,4151,4170,3892,3936,2591
2022-07-22,3938,4002,3895,3917,1347
2022-07-25,3965,3989,3846,3858,988
2022-07-26,3904,4086,3904,3979,1268
2022-07-27,4021,4067,3875,4006,4558
2022-07-28,3997,4200,3997,4179,1920
2022-07-29,4187,4497,4186,4486,2141
2022-08-01,4417,4423,4302,4304,3587
2022-08-02,4277,4300,4102,4102,2793
2022-08-03,4121,4200,4050,4106,4178
2022-08-04,4177,4177,3981,4013,7019
2022-08-05,4065,4121,4022,4067,2556
2022-08-08,4172,4266,4172,4235,1756
2022-08-09,4249,4336,4188,4265,2623
2022-08-10,4297,4327,4185,4258,1646
2022-08-11,4300,4402,4270,4400,2219
2022-08-12,4394,4609,4377,4560,4628
2022-08-15,4486,4486,4319,4319,1567
2022-08-16,4313,4449,4313,4336,2841
2022-08-17,4341,4369,4279,4335,1389
2022-08-18,4309,4314,4169,4180,3184
2022-08-19,4226,4292,4160,4201,2781
2022-08-22,4392,4392,4271,4285,2507
2022-08-23,4303,4357,4223,4335,5387
2022-08-24,4398,4437,4202,4395,5703
2022-08-25,4403,4431,4352,4367,1352
2022-08-26,4369,4400,4289,4294,2472
2022-08-29,4347,4367,4294,4302,2522
2022-08-30,4332,4349,4246,4290,3297
2022-09-01,4345,4352,4134,4137,2384
2022-09-02,4134,4141,3971,4030,2653
2022-09-05,4099,4099,4026,4037,1994
2022-09-06,4040,4070,3906,3937,2108
2022-09-07,3945,3978,3819,3852,8168
2022-09-08,3856,3882,3646,3718,5750
2022-09-09,3754,3839,3739,3770,3379
2022-09-12,3756,3846,3756,3828,2462
2022-09-13,3848,4054,3821,4045,3871
2022-09-14,3986,4080,3965,4037,3710
2022-09-15,4026,4038,3896,3913,3555
2022-09-19,3967,4008,3798,3813,3468
2022-09-20,3834,3902,3758,3848,3751
2022-09-21,3830,4017,3777,3984,3929
2022-09-22,3943,3981,3910,3922,2336
2022-09-23,3937,3949,3840,3840,3084
2022-09-26,3705,3705,3544,3658,5306
2022-09-27,3649,3697,3568,3640,4740
2022-09-28,3649,3666,3347,3351,9060
2022-09-29,3401,3518,3360,3464,4976
2022-09-30,3473,3568,3417,3542,4284
2022-10-03,3465,3580,3452,3552,2074
2022-10-04,3565,3760,3565,3753,3089
2022-10-05,3798,3938,3737,3763,3432
2022-10-06,3745,3913,3745,3809,3207
2022-10-07,3803,3947,3803,3935,3598
2022-10-11,3870,3910,3774,3785,4808
2022-10-12,3811,3887,3800,3848,5221
2022-10-13,3829,3883,3764,3764,5251
2022-10-14,3721,3983,3707,3924,5845
2022-10-17,3930,3942,3842,3926,6366
2022-10-18,3939,4114,3933,4038,11065
2022-10-19,4078,4189,4044,4141,11878
2022-10-20,4122,4217,4082,4122,9013
2022-10-21,4157,4207,4098,4136,6111
2022-10-25,4230,4282,4120,4150,8351
2022-10-26,4170,4251,4106,4133,8999
2022-10-27,4156,4285,4153,4179,8437
2022-10-28,4207,4216,4000,4021,8554
2022-10-31,4102,4206,4043,4073,7936
2022-11-01,4082,4298,4076,4247,9659
2022-11-02,4288,4450,4255,4410,7713
2022-11-03,4350,4501,4347,4354,9462
2022-11-04,4349,4495,4290,4408,7744
2022-11-07,4375,4482,4338,4476,4456
2022-11-08,4466,4499,4393,4397,7553
2022-11-09,4412,4434,4199,4211,9853
2022-11-10,4197,4283,4123,4195,9028
2022-11-11,4191,4360,4191,4330,9891
2022-11-14,4273,4337,4170,4170,8503
2022-11-15,4191,4241,4043,4070,9475
2022-11-16,4075,4123,4017,4028,5341
2022-11-17,4012,4017,3789,3854,12441
2022-11-21,3835,3930,3794,3861,9849
2022-11-22,3886,4027,3832,4014,10008
2022-11-23,4024,4141,4001,4119,7818
2022-11-24,4079,4237,4041,4047,7924
2022-11-25,4061,4164,4032,4146,6152
2022-11-29,4193,4300,4185,4235,8695
2022-11-30,4274,4285,4193,4255,9988
2022-12-01,4267,4315,4076,4099,18784
2022-12-02,4118,4175,3926,3967,17325
2022-12-05,4062,4107,3960,3990,14670
2022-12-06,3996,4135,3894,4116,20333
2022-12-07,4087,4142,3981,4005,16289
2022-12-08,4045,4080,3906,3973,15118
2022-12-09,3996,4069,3981,4021,11364
2022-12-12,3925,3925,3747,3768,25732
2022-12-13,3787,3961,3776,3902,19951
2022-12-14,3940,4021,3911,3965,17188
2022-12-15,3972,4007,3886,3894,15140
2022-12-16,3916,4013,3878,3917,25393
2022-12-19,3943,3978,3907,3932,15922
2022-12-20,3957,3995,3847,3870,25901
2022-12-21,3881,3979,3850,3960,25490
2022-12-22,3960,3994,3857,3893,21174
2022-12-23,3889,3889,3815,3831,27726
