instrument,group,era,shape,duration_bucket,horizon,n_signals,reversion_rate_pct,continuation_rate_pct,anti_rev_depth_z,time_to_turn_days,half_life_days,net_directional_bias_pct,low_n_flag
M4-M5,live-9,full,SB,established,10,51,47.06,54.9,2.713,3.5,3.5,-2.94,
M4-M5,live-9,full,SB,established,20,51,68.63,58.82,2.938,4.0,4.0,18.63,
M4-M5,live-9,full,SB,mid,5,43,32.56,46.51,2.491,2.0,2.0,-17.44,
M4-M5,live-9,full,SB,mid,10,43,51.16,48.84,2.446,2.0,2.0,1.16,
M4-M5,live-9,full,SB,mid,20,43,79.07,60.47,2.737,3.0,3.0,29.07,
M4-M5,live-9,full,TB,early,5,4,0.0,50.0,2.056,3.5,,-50.0,LOW-N
M4-M5,live-9,full,TB,early,10,4,0.0,50.0,2.056,3.5,,-50.0,LOW-N
M4-M5,live-9,full,TB,early,20,4,25.0,50.0,2.056,3.5,19.0,-25.0,LOW-N
M4-M5,live-9,full,TB,established,5,1,0.0,0.0,,,,-50.0,LOW-N
M4-M5,live-9,full,TB,established,10,1,0.0,0.0,,,,-50.0,LOW-N
M4-M5,live-9,full,TB,established,20,1,100.0,0.0,,,1.0,50.0,LOW-N
M4-M5,live-9,full,TB,mid,5,7,14.29,28.57,2.52,1.5,3.0,-35.71,LOW-N
M4-M5,live-9,full,TB,mid,10,7,14.29,28.57,2.52,1.5,3.0,-35.71,LOW-N
M4-M5,live-9,full,TB,mid,20,7,28.57,28.57,2.52,1.5,9.5,-21.43,LOW-N
M5-M6,live-9,full,C,early,5,10,10.0,20.0,2.237,1.0,2.0,-40.0,LOW-N
M5-M6,live-9,full,C,early,10,10,70.0,30.0,2.242,7.0,7.0,20.0,LOW-N
M5-M6,live-9,full,C,early,20,10,100.0,30.0,2.242,7.0,7.0,50.0,LOW-N
M5-M6,live-9,full,C,established,5,164,18.29,47.56,2.337,2.0,3.0,-31.71,
M5-M6,live-9,full,C,established,10,164,31.71,53.66,2.36,2.0,4.0,-18.29,
M5-M6,live-9,full,C,established,20,164,54.27,61.59,2.472,3.0,5.0,4.27,
M5-M6,live-9,full,C,mid,5,23,17.39,30.43,1.844,2.0,3.5,-32.61,
M5-M6,live-9,full,C,mid,10,23,56.52,34.78,1.977,2.5,5.0,6.52,
M5-M6,live-9,full,C,mid,20,22,68.18,50.0,2.186,4.0,5.0,18.18,
M5-M6,live-9,full,F,early,5,10,20.0,10.0,1.971,1.0,3.5,-30.0,LOW-N
M5-M6,live-9,full,F,early,10,10,50.0,10.0,1.971,1.0,4.0,0.0,LOW-N
M5-M6,live-9,full,F,early,20,10,50.0,30.0,2.908,15.0,4.0,0.0,LOW-N
M5-M6,live-9,full,F,established,5,0,,,,,,,
M5-M6,live-9,full,F,established,10,0,,,,,,,
M5-M6,live-9,full,F,established,20,0,,,,,,,
M5-M6,live-9,full,F,mid,5,15,20.0,26.67,2.253,2.5,2.0,-30.0,LOW-N
M5-M6,live-9,full,F,mid,10,15,20.0,26.67,2.253,2.5,2.0,-30.0,LOW-N
M5-M6,live-9,full,F,mid,20,15,33.33,46.67,2.425,4.0,3.0,-16.67,LOW-N
