Timestamp (UTC),Open,High,Low,Close,FCPO Jan09: Volume
2007-10-30,2601,2680,2601,2680,0
2007-10-31,2890,2890,2890,2890,0
2007-11-01,2800,2810,2800,2800,0
2007-11-05,2810,2815,2785,2785,0
2007-11-05,2820,2820,2820,2820,0
2007-11-06,2900,2900,2870,2872,0
2007-11-08,2860,2860,2860,2860,0
2007-11-12,2900,2900,2820,2820,0
2007-11-12,2860,2860,2860,2860,0
2007-11-13,2871,2871,2871,2871,0
2007-11-14,2886,2886,2886,2886,0
2007-11-15,2851,2851,2851,2851,0
2007-11-19,2933,2933,2933,2933,0
2007-11-19,2913,2913,2913,2913,0
2007-11-20,2946,2946,2946,2946,0
2007-11-21,2962,2962,2962,2962,0
2007-11-22,2996,2996,2996,2996,0
2007-11-26,2993,2993,2993,2993,0
2007-11-26,2959,2959,2959,2959,0
2007-11-27,2899,2899,2899,2899,0
2007-11-28,2899,2899,2899,2899,0
2007-11-29,2891,2891,2891,2891,0
2007-12-03,2861,2861,2861,2861,0
2007-12-05,2788,2788,2788,2788,0
2007-12-06,2837,2837,2837,2837,0
2007-12-10,2830,2830,2830,2830,0
2007-12-11,2790,2790,2790,2790,0
2007-12-12,2900,2900,2900,2900,0
2007-12-13,2915,2915,2915,2915,0
2007-12-17,2920,2920,2920,2920,0
2007-12-17,2913,2913,2913,2913,0
2007-12-18,2923,2923,2923,2923,0
2007-12-20,2948,2948,2948,2948,0
2007-12-24,2985,2985,2985,2985,0
2007-12-25,3100,3100,3100,3100,0
2007-12-26,3118,3118,3118,3118,0
2007-12-27,3145,3145,3145,3145,0
2007-12-31,3075,3075,3075,3075,0
2008-01-01,3086,3086,3086,3086,0
2008-01-02,3143,3143,3143,3143,0
2008-01-03,3080,3080,3080,3080,0
2008-01-07,3118,3118,3118,3118,0
2008-01-07,3073,3073,3073,3073,0
2008-01-08,3095,3095,3095,3095,0
2008-01-10,3175,3175,3175,3175,0
2008-01-14,3305,3305,3305,3305,0
2008-01-14,3222,3222,3222,3222,0
2008-01-15,3166,3166,3166,3166,0
2008-01-16,3256,3256,3256,3256,0
2008-01-17,3272,3272,3272,3272,0
2008-01-21,3206,3206,3206,3206,0
2008-01-21,3100,3100,3100,3100,0
2008-01-23,3190,3190,3190,3190,0
2008-01-24,3190,3190,3190,3190,0
2008-01-28,3155,3155,3155,3155,0
2008-01-28,3180,3180,3180,3180,0
2008-01-29,3200,3200,3200,3200,0
2008-01-30,3200,3200,3180,3190,0
2008-02-04,3250,3295,3250,3295,0
2008-02-04,3314,3314,3314,3314,0
2008-02-05,3350,3350,3350,3350,0
2008-02-11,3369,3369,3369,3369,0
2008-02-11,3369,3369,3369,3369,0
2008-02-12,3309,3309,3309,3309,0
2008-02-13,3398,3398,3398,3398,0
