instrument,entry_date,exit_date,direction,days_held,exit_reason,daily_net_pnl,intraday_mae,intraday_mfe,n_bars
BF_M1M2M3,2025-03-27,2025-04-08,SHORT,6,take_profit,48.0,-3.0,81.0,53
BF_M1M2M3,2025-04-09,2025-04-18,LONG,7,invalidated,94.0,85.0,111.0,66
BF_M1M2M3,2025-08-04,2025-08-06,SHORT,2,take_profit,7.0,8.0,16.0,26
BF_M1M2M3,2025-08-11,2025-08-18,SHORT,5,invalidated,35.0,28.0,41.0,49
BF_M1M2M3,2025-09-09,2025-09-17,LONG,4,invalidated,3.0,0.0,8.0,35
BF_M1M2M3,2025-11-05,2025-11-11,SHORT,4,take_profit,18.0,26.0,41.0,37
BF_M1M2M3,2025-12-01,2025-12-03,LONG,2,take_profit,17.0,12.0,35.0,20
BF_M1M2M3,2025-12-11,2025-12-16,SHORT,3,invalidated,15.0,17.0,25.0,30
BF_M2M3M4,2024-04-12,2024-04-15,SHORT,1,take_profit,10.0,20.0,28.0,15
BF_M2M3M4,2024-04-22,2024-04-26,SHORT,4,take_profit,9.0,3.0,17.0,39
BF_M2M3M4,2024-05-06,2024-05-09,SHORT,3,invalidated,-6.0,12.0,22.0,31
BF_M2M3M4,2024-07-10,2024-07-15,SHORT,3,take_profit,14.0,4.0,14.0,31
BF_M2M3M4,2024-08-06,2024-08-20,SHORT,10,take_profit,-4.0,-23.0,18.0,92
BF_M2M3M4,2024-09-13,2024-10-03,SHORT,13,invalidated,51.0,38.0,56.0,114
BF_M2M3M4,2024-12-31,2025-01-03,SHORT,2,take_profit,13.0,-14.0,11.0,21
BF_M2M3M4,2025-01-06,2025-01-14,SHORT,6,take_profit,-2.0,-2.0,26.0,58
BF_M2M3M4,2025-03-04,2025-03-06,SHORT,2,take_profit,1.0,-11.0,8.0,27
BF_M2M3M4,2025-03-07,2025-03-10,LONG,1,take_profit,12.0,7.0,28.0,15
BF_M2M3M4,2025-03-11,2025-03-14,SHORT,3,invalidated,9.0,2.0,30.0,32
BF_M2M3M4,2025-04-04,2025-04-16,SHORT,8,take_profit,2.0,4.0,23.0,74
BF_M2M3M4,2025-08-05,2025-08-08,LONG,3,take_profit,6.0,2.0,7.0,29
BF_M2M3M4,2025-08-11,2025-08-18,LONG,5,invalidated,-15.0,-12.0,6.0,50
BF_M2M3M4,2025-11-11,2025-11-12,LONG,1,invalidated,-2.0,-1.0,4.0,17
BF_M2M3M4,2025-12-11,2025-12-16,LONG,3,invalidated,9.0,3.0,13.0,33
BF_M2M3M4,2026-05-21,2026-06-03,SHORT,6,take_profit,4.0,1.0,10.0,48
BF_M2M3M4,2026-06-09,2026-06-11,SHORT,2,take_profit,7.0,5.0,10.0,24
BF_M3M4M5,2024-04-16,2024-05-02,SHORT,11,take_profit,0.0,-13.0,2.0,82
BF_M3M4M5,2024-07-11,2024-07-16,SHORT,3,invalidated,0.0,3.0,10.0,22
BF_M3M4M5,2024-08-05,2024-08-07,SHORT,2,take_profit,6.0,10.0,16.0,27
BF_M3M4M5,2024-08-15,2024-08-16,SHORT,1,take_profit,16.0,17.0,25.0,14
BF_M3M4M5,2024-09-19,2024-09-24,LONG,3,take_profit,5.0,-3.0,3.0,26
BF_M3M4M5,2024-09-26,2024-10-01,LONG,3,take_profit,6.0,0.0,9.0,32
BF_M3M4M5,2025-01-23,2025-01-31,SHORT,4,take_profit,15.0,1.0,18.0,36
BF_M3M4M5,2025-02-06,2025-02-13,LONG,4,invalidated,-13.0,0.0,10.0,36
BF_M3M4M5,2025-03-04,2025-03-06,SHORT,2,take_profit,12.0,-17.0,-12.0,26
BF_M3M4M5,2025-03-11,2025-03-13,SHORT,2,take_profit,18.0,-19.0,-10.0,25
BF_M3M4M5,2025-08-12,2025-08-18,LONG,4,invalidated,1.0,3.0,13.0,39
BF_M3M4M5,2025-09-30,2025-10-01,LONG,1,invalidated,-9.0,-1.0,2.0,15
BF_M3M4M5,2025-11-06,2025-11-07,LONG,1,take_profit,4.0,4.0,9.0,12
BF_M3M4M5,2025-12-15,2025-12-16,SHORT,1,invalidated,4.0,6.0,9.0,16
BF_M3M4M5,2026-06-05,2026-06-08,SHORT,1,take_profit,5.0,8.0,11.0,10
BF_M4M5M6,2024-04-02,2024-04-03,SHORT,1,take_profit,7.0,-5.0,2.0,17
BF_M4M5M6,2024-04-16,2024-04-19,SHORT,3,take_profit,10.0,5.0,11.0,27
BF_M4M5M6,2024-04-23,2024-04-25,SHORT,2,take_profit,7.0,5.0,12.0,23
BF_M4M5M6,2024-07-11,2024-07-16,SHORT,3,invalidated,9.0,4.0,8.0,17
BF_M4M5M6,2024-08-15,2024-08-16,SHORT,1,take_profit,8.0,13.0,17.0,12
BF_M4M5M6,2024-08-23,2024-08-26,LONG,1,take_profit,9.0,-1.0,7.0,13
BF_M4M5M6,2024-09-13,2024-09-17,SHORT,1,take_profit,9.0,14.0,18.0,12
BF_M4M5M6,2024-09-19,2024-10-03,LONG,10,invalidated,6.0,-6.0,7.0,83
BF_M4M5M6,2024-12-04,2024-12-05,SHORT,1,invalidated,-3.0,-12.0,4.0,18
BF_M4M5M6,2025-03-03,2025-03-14,SHORT,9,invalidated,-3.0,-8.0,8.0,76
BF_M4M5M6,2025-04-16,2025-04-18,LONG,2,invalidated,-2.0,5.0,13.0,22
BF_M4M5M6,2025-08-06,2025-08-18,LONG,8,invalidated,-14.0,-14.0,0.0,57
BF_M4M5M6,2026-05-19,2026-06-04,SHORT,9,take_profit,6.0,4.0,15.0,58
