entry_z,exit_z,shape_regime,period,n,win_pct,adj_sharpe,pnl,max_dd,low_n
2.5,0.25,SB+C,P2_2022-2023,42,69.0,0.989,2150.7,-216.6,False
2.5,0.25,SB+C,P3_2024-2026,21,61.9,1.026,176.8,-25.8,False
2.5,0.5,SB,P1_2020-2021,14,78.6,0.826,590.4,-8.8,False
2.5,0.5,SB,P2_2022-2023,26,73.1,1.079,1779.4,-149.9,False
2.5,0.5,SB,P3_2024-2026,11,54.5,0.927,87.9,-42.6,False
2.5,0.5,C,P1_2020-2021,0,,,0.0,0.0,True
2.5,0.5,C,P2_2022-2023,17,70.6,1.657,243.4,-12.9,False
2.5,0.5,C,P3_2024-2026,10,70.0,0.487,85.9,-14.0,False
2.5,0.5,Transitional,P1_2020-2021,0,,,0.0,0.0,True
2.5,0.5,Transitional,P2_2022-2023,0,,,0.0,0.0,True
2.5,0.5,Transitional,P3_2024-2026,0,,,0.0,0.0,True
2.5,0.5,SB+C,P1_2020-2021,14,78.6,0.826,590.4,-8.8,False
2.5,0.5,SB+C,P2_2022-2023,43,72.1,1.215,2022.8,-149.9,False
2.5,0.5,SB+C,P3_2024-2026,21,61.9,0.928,173.8,-25.8,False
2.5,0.75,SB,P1_2020-2021,15,73.3,0.654,455.6,-8.8,False
2.5,0.75,SB,P2_2022-2023,27,74.1,1.0,1709.7,-149.9,False
2.5,0.75,SB,P3_2024-2026,11,54.5,0.804,75.9,-42.6,False
2.5,0.75,C,P1_2020-2021,0,,,0.0,0.0,True
2.5,0.75,C,P2_2022-2023,17,70.6,1.461,219.4,-12.9,False
2.5,0.75,C,P3_2024-2026,10,70.0,0.474,84.9,-15.0,False
2.5,0.75,Transitional,P1_2020-2021,0,,,0.0,0.0,True
2.5,0.75,Transitional,P2_2022-2023,0,,,0.0,0.0,True
2.5,0.75,Transitional,P3_2024-2026,0,,,0.0,0.0,True
2.5,0.75,SB+C,P1_2020-2021,15,73.3,0.654,455.6,-8.8,False
2.5,0.75,SB+C,P2_2022-2023,44,72.7,1.101,1929.1,-149.9,False
2.5,0.75,SB+C,P3_2024-2026,21,61.9,0.846,160.8,-25.8,False
